{00001}您好，这里是{00002}警局的 你女婿昨天因为嫖娼被我们抓了 这个事情影响挺不好的，你要不要让很多人知道的话就尽快交{00003}保释金
你好，这是{00013}的人工客服，给你打电话是因为 我们查到寄出给您的一个快递包裹似乎包含违禁品 如果不是寄给您的话，需要向{00002}警局说明
在干嘛{00001} 房租你直接打到我老婆{00022}卡上 你的房租以后就记得转到这张{00022}卡上吧
你好，这儿是{00013}的客服，给你打电话是因为 您寄的一个快递因被抽检到附有禁物被截留 如果要说明这个快递不是你的，您需要跟{00002}警方说明情况
很抱歉打扰您，我是{00023}客服 您家的固定电话已欠费{00017}了，即将被停用 你得告诉我您家户主的信息，从而实现续费
你好，这里是{00024}办公人员 有人在{00002}利用您的身份信息置办了一张手机卡，并利用这个手机号码在{00002}骗市民的财产 现在需要你到{00002}警察局处置报案证明单，说明这些违法行为不是你做的
很抱歉打扰您，我是{00025}赔偿客服，给你打电话是想通知您 你上个月购入的面霜经过检测发现这批面霜出现了成分问题，{00026}要求两倍赔偿 现在需要您打开{00027}，我们后台会通过这个渠道对你开展双倍的赔偿
您好，我是房东 需要您把这次的房租存到我爱人的{00022}卡上 以后就用这张卡收你的房租了
你在干嘛，我跟你讲，我遇到欺诈了，跟我说他是{00004}的办公人员 跟我说快到英语考试了，需不需要考试真题 可以通过在他给我发送的链接里填写我本人的信息来预定
不好意思打扰您，我是{00013}的工作人员 你邮递的一个快递因被抽查到附有禁品被截留 如果这个快递不是您寄的话，您需要向{00002}警方报案证明这件事跟您没关系
好消息！您前段时间不是说过很想去看{00020}吗 我这有他们下周办的演唱会的入场券 你方便的话一会我给你发链接进行预约
喂，你好，这是{00020}的经纪人，给你打电话是很想告诉您 我这边有他们下周办的演唱会的门票 不知道您是否感兴趣，如果感兴趣的话可以添加我{00014}详谈
不好意思打扰你，这里是{00024}办公处 由于您挂名受理的一个电信手机号总是群发违法信息，所以你名下所有手机号即将停机 如果不是你做的话，这种情况得向{00002}警局报案
很抱歉打扰到你，我是{00016}的客服，联络您呢是因为 由于是办公人员疏漏，没有得到您的答应就给你开通了{00028} 如果需要取消的话需要本人到{00007}处置，否则过了今天这项服务就会开始扣款
你好，耽误您几分钟，这儿是{00013}的客服 现在通知你，您寄的一个快递因被采样到包含违禁品被扣留，你目前有犯罪嫌疑 如果不是你自己邮寄的话，需要向{00002}公安部说明
您好，这里是{00013}的人工客服，给你打电话是因为 我们这有一个快递，收件人是你，但是这个包裹里面包含违禁品 你需要向{00002}警方报案说明这件事情跟你无关系
请问是{00001}吗，我是警局的 你家女婿啊，因为犯事昨天晚上被我们派出所抓了 您赶紧准备{00003}的罚款
你在干嘛，我跟你讲，我遇到诈骗了，跟我说他是{00025}人工客服 通知我说我先前购入的唇彩产生了质量问题 让我现在添加一下他们客服的{00014}，接着他会指导我展开赔偿
请问是{00001}吗，这是市警察局的 您女婿在昨天我们抓捕的嫖娼人员里 你赶紧准备{00003}的罚款
不好意思打扰你一下，这儿是{00029}的办公人员 国家最新颁行了相关政策，您买的{00030}现在可以享受购车退税优惠 为了以便您尽快弄完退税，您需要到附近银行的ATM机按照我的需要进行操作
喂，您好，我是{00031}的服务工作站 您购入的牛奶，经抽检不合格，现在按照规定需要对你进行赔偿 你需要添加我们指定负责赔偿的办公人员的{00014}开展理赔
不好意思耽误您几分钟，我是{00032}的办公人员 这边你本科申请过借款 需要一定记得及时注销，不然你的信息容易被不法分子盗用
你好，这边是{00025}的客服 你前段时间在我们家买的唇膏使用体验怎么样 这边有意对您做个回访调查
很抱歉打扰你，我是{00018}的员工，给你打电话是因为 最近我们公司发现了一个不错的股，趋向很不错 你能对这支股票感兴趣的话，能够通过一会我给你发的链接预约
很抱歉打扰到你，我是{00033}人工客服 你户下的网费即将到期，你家的网络服务即将停用 我一会给你发送一个链接，通过这个链接你能完成续费操作
{00001}对吧 我劝您马上退出{00014} 不然你就等着吧
就您叫{00001}吧。 照片上的是您吧。 要是不想照片泄露的话就按我说的做
喂，您好，我是{00013}的人工客服 你前段时间买回来的快递在运输途中丢失，公司会按照规定对您进行原价赔 如果想要开展赔偿的话，需要您添加一下我的{00014}，这么做我以便引导您进行下一步的操作
喂您好，不好意思打扰了，这是英国大使馆 我们怀疑你跟犯罪团伙有关联 现需要您协助案子受理，2小时内向{00002}公安说明情况
好消息！您之前不是说过想去看{00020}吗 现在我手头上有多余的演唱会门票 你可以点击我一会儿给您发的链接展开预约
喂，尊敬的客户你好，这里是{00013}的客服 您邮寄的一个快递似乎包含禁物 如果不是你本人邮递的话，需要向{00002}警局说明
喂，您好，我是{00013}的服务中心 非常抱歉，由于我们办公人员的失误造成您的快递丢失，我们这里会给您处置理赔 我们这边给您安排了一个专门的赔偿人员，需要你加上赔偿的{00014}，展开具体的赔偿操作
你好，我是{00013}的服务中心 不好意思通知你，您的快递不见了，真是非常抱歉，我们会给您三倍补偿 你能添加我的{00014}进行进一步的理赔吗
不好意思打扰你，这儿是瑞士大使馆的工作人员 以你身份信息办理的护照涉嫌违法入境 你如果想要说明清白，就必须往这个银行户头转账，证明你的户头没被限制
不好意思打扰你几分钟，这边是{00025}的办公人员 您先前在我们家买过一款唇彩，不知道您的使用感受怎么样 你以便配合我们做个回访吗
你好，我是{00002}{00013}的客服，给你打电话是因为 现在通知你，您寄的一个快递因被采样到含有禁品被扣压，你目前有犯罪嫌疑 如果要说明这个快递不是你的，你需要跟{00002}警方说明情况
你好，这儿是{00005}代办工作站的 我们公司近期会推出一款高额信用卡代办业务，不需要收入证明 你可以缴纳{00006}手续费，给您办理
喂你好，不好意思打扰了，这是英国大使馆 我们怀疑您跟犯罪团伙有关联 现需要你协助案子调查，2小时内向{00002}公安局说明情况
{00001}啊 房租您直接打到我老婆{00009}上 以后就把房租转到这张卡上吧
